Numero Empleado,Numero Orden,Codigo serial,Version Firmware,Prueba LEDS,Prueba LCDS,Prueba pulsacion Botones,Prueba entradas digitales,Hora y Fecha
3449,123456,BQ244423100480013,FF00FFA50010600D1FD0761C0105A18B0109E6B300010000000000000000000000000000000000000579,PASS,PASS,PASS,PASS,12:19:19_06-02-25
3449,123456,BQ244423100480014,FF00FFA50010600D1FD0761C0105A18B0109E6B300010000000000000000000000000000000000000579,PASS,PASS,PASS,PASS,12:21:49_06-02-25
3449,123456,BQ244423100480013,FF00FFA50010600D1FD0761C0105A18B0109E6B300010000000000000000000000000000000000000579,PASS,PASS,PASS,PASS,13:41:38_06-02-25
3449,123456,BQ244423100480013,FF00FFA50010600D1FD0761C0105A18B0109E6B300010000000000000000000000000000000000000579,PASS,PASS,PASS,PASS,13:58:32_06-02-25
3449,123456,BQ244423100480014,FF00FFA50010600D1FD0761C0105A18B0109E6B300010000000000000000000000000000000000000579,PASS,PASS,PASS,PASS,14:06:59_06-02-25
3449,123456,BQ244423100480015,FF00FFA50010600D1FD0761C0105A18B0109E6B300010000000000000000000000000000000000000579,PASS,PASS,PASS,PASS,14:09:12_06-02-25
3449,123456,BQ244423100480016,FF00FFA50010600D1FD0761C0105A18B0109E6B300010000000000000000000000000000000000000579,PASS,PASS,PASS,PASS,14:10:36_06-02-25
3449,123456,BQ244423100480017,FF00FFA50010600D1FD0761C0105A18B0109E6B300010000000000000000000000000000000000000579,PASS,PASS,PASS,PASS,14:12:03_06-02-25
3449,123456,BQ244423100480018,FF00FFA50010600D1FD0761C0105A18B0109E6B300010000000000000000000000000000000000000579,PASS,PASS,PASS,PASS,14:13:28_06-02-25
3449,123456,BQ244423100480019,FF00FFA50010600D1FD0761C0105A18B0109E6B300010000000000000000000000000000000000000579,PASS,PASS,PASS,PASS,17:00:10_06-02-25
